Branch Name,Address,Zip_Code,Telephone,Branch Type
Patuxent Wildlife Research Center Library,"12100 Beech Forest Road Laurel, MD (39.05422969900047, -76.81577807699966), MD 20708
(39.054229233000456, -76.81577864799965)",20708,301-497-5550,Federal
Museum Support Center Library,"4210 Silver Hill Road Suitland, MD (38.84230453000049, -76.93615176399965), MD 20746
(38.842305113000464, -76.93615176399965)",20746,301-238-1030,Other
South Bowie Branch Library,"15301 Hall Road Bowie, MD (38.90350610000047, -76.74026053299963), MD 20721
(38.90350668400049, -76.74026053299963)",20721,301-850-0475,County
Prince George's County Genealogical Society Library,"12219 Tulip Grove Drive Bowie, MD (38.966800210000486, -76.74496495099964), MD 20715
(38.96680079300046, -76.74496495099964)",20715,301-262-2063,Other
The Niels Bohr Library,"1 Physics Ellipse Drive College Park, MD (38.97187331100048, -76.92953920099967), MD 20740
(38.97187353700048, -76.92953866399967)",20740,301-209-3177,Other
Fairmount Heights Branch Library,"5904 Kolb Street Capitol Heights, MD (38.90288903400045, -76.91520643999968), MD 20743
(38.90288961800047, -76.91520643999968)",20743,301-883-2650,County
Accokeek Branch Library,"15773 Livingston Road Accokeek, MD (38.66957764400047, -77.00668098099965), MD 20607
(38.669578164000484, -77.00668047499965)",20607,301-292-2880,County
Prince George's Community College Library,"301 Largo Road Upper Marlboro, MD (38.89061593700046, -76.82477460599966), MD 20774
(38.89061627700045, -76.82477502299963)",20774,301-322-0476,University
Beltsville Branch Library,"4319 Sellman Road Beltsville, MD (39.035205490000465, -76.91873396499966), MD 20705
(39.035106811000446, -76.91933664599964)",20705,301-937-0294,County
Hillcrest Heights Branch Library,"2398 Iverson Street Temple Hills, MD (38.83506904100045, -76.95632409999968), MD 20748
(38.83506962300049, -76.95632409999968)",20748,301-630-4900,County
Laurel Branch Library,"507 Seventh Street Laurel, MD (39.103690989000484, -76.85570310899965), MD 20707
(39.10368996700049, -76.85570390299966)",20707,301-776-6790,County
National Museum of the American Indian Archive Center,"4220 Silver Hill Road Suitland, MD (38.842379218000474, -76.93576288299965), MD 20746
(38.84237980000046, -76.93576288299965)",20746,301-238-1400,Other
Public Documents Reference Library,"14741 Governor Oden Bowie Drive Room 2198 Upper Marlboro, MD (38.81853372800049, -76.75052398799966), MD 20772
(38.81853363400046, -76.75052477099968)",20772,301-952-3904,County
Hornbake Library,"University of Maryland College Park, MD (38.98072355500045, -76.93726729199966), MD 20742
(38.98747991400046, -76.94219718699964)",20742,301-405-9212,University
Thurgood Marshall Library,"Bowie State University Bowie, MD (38.96097423200047, -76.74046631499965), MD 20715
(38.981236141000466, -76.74261804899965)",20715,301-860-3870,University
National Epilepsy Library,"4351 Garden City Drive Hyattsville, MD (38.95014768600049, -76.86670153599965), MD 20785
(38.950147263000474, -76.86670127999963)",20785,301-459-3700,Federal
John G. and Beverly A. Puente Library,"Capitol College Laurel, MD (39.10491383700048, -76.86663956899963), MD 20708
(39.06789727600045, -76.84683735199968)",20708,301-368-2800,University
U.S. National Archives and Records,"8601 Adelphi Road College Park, MD (38.99815580800049, -76.96186330499967), MD 20740
(38.99671739600046, -76.92870594499965)",20740,301-837-2000,Federal
Theodore R. McKeldin Library,"University of Maryland College Park, MD (38.98072355500045, -76.93726729199966), MD 20742
(38.98747991400046, -76.94219718699964)",20742,301-405-9075,University
Baden Branch Library,"13603 Baden Westwood Road Brandywine, MD (38.66059241000045, -76.77148439499967), MD 20613
(38.66059299300048, -76.77148439499967)",20613,301-888-1152,County
Art Library,"University of Maryland College Park, MD (38.98072355500045, -76.93726729199966), MD 20742
(38.98747991400046, -76.94219718699964)",20742,301-405-9061,University
The Goddard Library,"8800 Greenbelt Road Building 21 Greenbelt, MD (38.991262996000444, -76.85533840799962), MD 20771
(38.991263579000474, -76.85533840799962)",20771,301-286-7218,Federal
James O. Hall Research Center,"9118 Brandywine Road Clinton, MD (38.76412432100045, -76.89753053399966), MD 20735
(38.76412403900048, -76.89753057899964)",20735,301-868-6185,County
Michelle Smith Performing Arts Library,"University of Maryland College Park, MD (38.98072355500045, -76.93726729199966), MD 20742
(38.98747991400046, -76.94219718699964)",20742,301-405-9217,University
New Carrollton Branch Library,"7414 Riverdale Road Hyattsville, MD (38.96155637700048, -76.88295201499966), MD 20784
(38.96155696000045, -76.88295201499966)",20784,301-459-6900,County
Bowie Branch Library,"15210 Annapolis Road Bowie, MD (38.97729057400045, -76.74273737699963), MD 20715
(38.977288899000484, -76.74273744799967)",20715,301-262-7000,County
Upper Marlboro Branch Library,"14730 Main Street Upper Marlboro, MD (38.81667871500048, -76.75074886199963), MD 20772
(38.81667929800045, -76.75074886199963)",20772,301-627-9330,County
Glenarden Branch Library,"8724 Glenarden Parkway Lanham, MD (38.930706788000464, -76.86110046399966), MD 20706
(38.93070711600046, -76.86110003799968)",20706,240-696-3844,County
U.S. Court District of Maryland Library,"6500 Cherrywood Lane Greenbelt, MD (39.0100435330005, -76.89718478999964), MD 20770
(39.01004411600047, -76.89718478999964)",20770,301-344-0663,Federal
Surratts-Clinton Branch Library,"9400 Piscataway Road Clinton, MD (38.76130424200045, -76.91536063499967), MD 20735
(38.76130440500049, -76.91536098899968)",20735,301-868-9200,County
Bladensburg Branch Library,"4820 Annapolis Road Bladensburg, MD (38.939394474000494, -76.93568623899966), MD 20710
(38.93940641800049, -76.93533077499967)",20710,301-927-4916,County
Engineering and Physical Sciences Library,"University of Maryland College Park, MD (38.98072355500045, -76.93726729199966), MD 20742
(38.98747991400046, -76.94219718699964)",20742,301-405-9157,University
Hyattsville Branch Library,"6530 Adelphi Road Hyattsville, MD (38.96874765500047, -76.94908551299966), MD 20782
(38.96874739600048, -76.94908597299963)",20782,301-985-4690,County
Greenbelt Branch Library,"11 Crescent Road Greenbelt, MD (39.0006966630005, -76.88029310799965), MD 20770
(39.00066587300046, -76.88023469799964)",20770,301-345-5800,County
Macro Systems Inc Library,"11785 Beltsville Dr # 260 Beltsville, MD (39.0513268630005, -76.93651208099965), MD 20705
(39.05132744600047, -76.93651208099965)",20705,301-572-0411,Other
Mount Rainier Branch Library,"3409 Rhode Island Avenue Mount Rainier, MD (38.93694507300046, -76.95961846699964), MD 20712
(38.93694441800045, -76.95961782799964)",20712,301-864-8937,County
Largo-Kettering Branch Library,"9601 Capital Lane Upper Marlboro, MD (38.89203344700047, -76.83864287399967), MD 20774
(38.89203423400045, -76.83864321699963)",20774,301-336-4044,County
Berwyn Heights Town Library,"8603 57th Avenue Berwyn Heights, MD (38.99256849900047, -76.91700933299967), MD 20740
(38.992568518000496, -76.91700990399966)",20740,301-474-0018,Other
Oxon Hill Branch Library,"6200 Oxon Hill Road Oxon Hill, MD (38.80409809300045, -76.98334622299967), MD 20745
(38.80409867500049, -76.98334622299967)",20745,301-839-2400,County
National Agricultural Library,"10301 Baltimore Avenue Beltsville, MD (39.02373819900049, -76.92315315699966), MD 20705
(39.023735374000466, -76.92315386499968)",20705,301-504-5755,Federal
White Memorial Chemistry Library,"University of Maryland College Park, MD (38.98072355500045, -76.93726729199966), MD 20742
(38.98747991400046, -76.94219718699964)",20742,301-405-9078,University
National Center for Health Statistics,"3311 Toledo Road Hyattsville, MD (38.96986336800046, -76.95191032899965), MD 20782
(38.969862805000446, -76.95191021599965)",20782,301-458-4000,Federal
Spauldings Branch Library,"5811 Old Silver Hill Road District Heights, MD (38.85376622300049, -76.90603721099967), MD 20747
(38.85387411700049, -76.90567260299963)",20747,301-817-3750,County
Architecture Library,"University of Maryland College Park, MD (38.98072355500045, -76.93726729199966), MD 20742
(38.98747991400046, -76.94219718699964)",20742,301-405-6317,University
Circuit Court Law Library,"14735 Main Street Room M1400 Upper Marlboro, MD (38.81674881100048, -76.75034500399966), MD 20772
(38.81674939400045, -76.75034500399966)",20772,301-952-3438,State
Oyer Memorial Library,"7852 Walker Drive Suite 100 Greenbelt, MD (38.998630283000466, -76.89515472399967), MD 20770
(38.998626912000475, -76.89515182299965)",20770,301-552-1400,University
Saul Schwartzbach Memorial Library,"3001 Hospital Drive Hyattsville, MD (38.93172046000046, -76.91928616299964), MD 20785
(38.93172104200045, -76.91928616299964)",20785,301-618-2490,Other
